;er es hand;sie es er;sie gesicht abtrünnigen;sie hand mutter;es er wasser;moment blick kopf;sie er es;sie es brand;sie tür soldaten;sie augen er;sie es tür;es augen vater;er sie es;sie könig soldaten;sie quelle feuer
er es hand;1.0;0.33135461310000003;0.212621577;0.4977789434;0.07726832460000001;0.7958759013000001;0.3519117094;0.23360776290000002;0.6053100816;0.8046621996000001;0.3008908609;0.7395740460000001;0.09725560450000001;0.4141290865;0.310331032
er sie es;0.09725560450000001;0.0050230939;0.0055439147;0.42153872870000003;0.0075998381;0.18454375010000001;0.0016753237;0.0034294784000000003;4.1907400000000005e-05;0.24897737520000002;0.00037244320000000004;0.43672136970000003;1.0;0.0003273149;0.007624676600000001
es augen vater;0.7395740460000001;0.20016961090000002;0.3120546352;0.7099580215;0.0518594105;0.7092290876;0.48991504880000003;0.1836508782;0.170337032;0.6862997312;0.19996879180000002;1.0;0.43672136970000003;0.1539471359;0.5992654514
es er wasser;0.07726832460000001;0.019212545100000002;0.0080358752;0.5982465859;1.0;0.4185499999;0.009394869200000001;0.0037956517;0.0024851877;0.47333627780000004;0.013217387300000001;0.0518594105;0.0075998381;0.007290282800000001;0.0130331018
moment blick kopf;0.7958759013000001;0.4878311125;0.3417674397;0.7242495375;0.4185499999;1.0;0.2203779442;0.1774659008;0.1796493372;0.7981879194;0.4037813906;0.7092290876;0.18454375010000001;0.4208956977;0.27651754770000003
sie augen er;0.8046621996000001;0.2872482441;0.22251730090000002;0.7346340653;0.47333627780000004;0.7981879194;0.2187337936;0.3662153784;0.4152903777;1.0;0.21709918800000003;0.6862997312;0.24897737520000002;0.2360149815;0.3059804352
sie er es;0.3519117094;0.008903194500000001;0.006499522000000001;0.16644982660000002;0.009394869200000001;0.2203779442;1.0;0.0065556791000000005;0.0009418436;0.2187337936;0.0037087512;0.48991504880000003;0.0016753237;0.0007547164;0.0428470797
sie es brand;0.23360776290000002;0.019936834400000002;0.0056328593;0.1979940772;0.0037956517;0.1774659008;0.0065556791000000005;1.0;0.0022491651;0.3662153784;0.0011665186;0.1836508782;0.0034294784000000003;1.91986e-05;0.0148327041
sie es er;0.33135461310000003;1.0;0.019357470300000002;0.0865447849;0.019212545100000002;0.4878311125;0.008903194500000001;0.019936834400000002;0.0259841912;0.2872482441;0.028974766500000002;0.20016961090000002;0.0050230939;0.034482504500000004;0.018044279400000002
sie es tür;0.3008908609;0.028974766500000002;0.0121206154;0.2223353156;0.013217387300000001;0.4037813906;0.0037087512;0.0011665186;0.0109606962;0.21709918800000003;1.0;0.19996879180000002;0.00037244320000000004;0.050701646600000004;0.0054230811
sie gesicht abtrünnigen;0.212621577;0.019357470300000002;1.0;0.3063370791;0.0080358752;0.3417674397;0.006499522000000001;0.0056328593;0.0004328317;0.22251730090000002;0.0121206154;0.3120546352;0.0055439147;0.002899515;0.0335255214
sie hand mutter;0.4977789434;0.0865447849;0.3063370791;1.0;0.5982465859;0.7242495375;0.16644982660000002;0.1979940772;0.056047817300000004;0.7346340653;0.2223353156;0.7099580215;0.42153872870000003;0.0875343787;0.36104527070000003
sie könig soldaten;0.4141290865;0.034482504500000004;0.002899515;0.0875343787;0.007290282800000001;0.4208956977;0.0007547164;1.91986e-05;0.049907786600000004;0.2360149815;0.050701646600000004;0.1539471359;0.0003273149;1.0;0.0020128711
sie quelle feuer;0.310331032;0.018044279400000002;0.0335255214;0.36104527070000003;0.0130331018;0.27651754770000003;0.0428470797;0.0148327041;0.0006256481000000001;0.3059804352;0.0054230811;0.5992654514;0.007624676600000001;0.0020128711;1.0
sie tür soldaten;0.6053100816;0.0259841912;0.0004328317;0.056047817300000004;0.0024851877;0.1796493372;0.0009418436;0.0022491651;1.0;0.4152903777;0.0109606962;0.170337032;4.1907400000000005e-05;0.049907786600000004;0.0006256481000000001
